repeat,seed,model_name,cv_balanced_accuracy,best_params,val_accuracy,val_balanced_accuracy,val_f1,val_recall,val_precision,val_specificity,val_tn,val_fp,val_fn,val_tp,val_auc,test_accuracy,test_balanced_accuracy,test_f1,test_recall,test_precision,test_specificity,test_tn,test_fp,test_fn,test_tp,test_auc
7,48,random_forest,0.6446428571428571,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6666666666666666,0.6666666666666667,0.6,0.5,0.75,0.8333333333333334,10,2,6,6,0.7256944444444444,0.56,0.5544871794871795,0.6206896551724138,0.6923076923076923,0.5625,0.4166666666666667,5,7,4,9,0.6666666666666666
8,49,logreg,0.5964285714285714,{'clf__C': 0.1},0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,5,7,7,5,0.4375,0.56,0.5480769230769231,0.6666666666666666,0.8461538461538461,0.55,0.25,3,9,2,11,0.5512820512820513
8,49,svm_rbf,0.6767857142857141,"{'clf__C': 0.5, 'clf__gamma': 0.001}",0.4583333333333333,0.4583333333333333,0.5517241379310345,0.6666666666666666,0.47058823529411764,0.25,3,9,4,8,0.5208333333333334,0.56,0.5416666666666666,0.7027027027027027,1.0,0.5416666666666666,0.08333333333333333,1,11,0,13,0.6602564102564102
8,49,random_forest,0.7178571428571429,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 300}",0.7083333333333334,0.7083333333333334,0.7407407407407407,0.8333333333333334,0.6666666666666666,0.5833333333333334,7,5,2,10,0.7152777777777778,0.64,0.6282051282051282,0.7272727272727273,0.9230769230769231,0.6,0.3333333333333333,4,8,1,12,0.6923076923076924
9,50,logreg,0.5535714285714285,{'clf__C': 1.0},0.4583333333333333,0.45833333333333337,0.43478260869565216,0.4166666666666667,0.45454545454545453,0.5,6,6,7,5,0.5347222222222222,0.72,0.717948717948718,0.7407407407407407,0.7692307692307693,0.7142857142857143,0.6666666666666666,8,4,3,10,0.7948717948717949
9,50,svm_rbf,0.6464285714285715,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.375,0.375,0.4444444444444444,0.5,0.4,0.25,3,9,6,6,0.4131944444444444,0.64,0.6346153846153846,0.6896551724137931,0.7692307692307693,0.625,0.5,6,6,3,10,0.75
9,50,random_forest,0.6232142857142857,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 300}",0.5,0.5,0.5384615384615384,0.5833333333333334,0.5,0.4166666666666667,5,7,5,7,0.5763888888888888,0.72,0.7147435897435898,0.7586206896551724,0.8461538461538461,0.6875,0.5833333333333334,7,5,2,11,0.8141025641025641
10,51,logreg,0.5142857142857143,{'clf__C': 0.1},0.5416666666666666,0.5416666666666667,0.56,0.5833333333333334,0.5384615384615384,0.5,6,6,5,7,0.6458333333333333,0.6,0.6057692307692308,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.75,9,3,7,6,0.6666666666666666
10,51,svm_rbf,0.6517857142857142,"{'clf__C': 5.0, 'clf__gamma': 0.001}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,8,4,4,8,0.795138888888889,0.64,0.641025641025641,0.64,0.6153846153846154,0.6666666666666666,0.6666666666666666,8,4,5,8,0.6730769230769231
10,51,random_forest,0.6946428571428571,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.75,0.75,0.7857142857142857,0.9166666666666666,0.6875,0.5833333333333334,7,5,1,11,0.78125,0.6,0.6025641025641025,0.5833333333333334,0.5384615384615384,0.6363636363636364,0.6666666666666666,8,4,6,7,0.7115384615384616
