feature_name,feature_group
P4_line_length_std,time_domain
P4_zero_crossing_rate_mean,time_domain
P4_zero_crossing_rate_std,time_domain
P4_hjorth_activity_mean,hjorth
P4_hjorth_activity_std,hjorth
P4_hjorth_mobility_mean,hjorth
P4_hjorth_mobility_std,hjorth
P4_hjorth_complexity_mean,hjorth
P4_hjorth_complexity_std,hjorth
P4_delta_abs_mean,frequency_band
P4_delta_abs_std,frequency_band
P4_delta_rel_mean,frequency_band
P4_delta_rel_std,frequency_band
P4_theta_abs_mean,frequency_band
P4_theta_abs_std,frequency_band
P4_theta_rel_mean,frequency_band
P4_theta_rel_std,frequency_band
P4_alpha_abs_mean,frequency_band
P4_alpha_abs_std,frequency_band
P4_alpha_rel_mean,frequency_band
P4_alpha_rel_std,frequency_band
P4_beta_abs_mean,frequency_band
P4_beta_abs_std,frequency_band
P4_beta_rel_mean,frequency_band
P4_beta_rel_std,frequency_band
P4_gamma_abs_mean,frequency_band
P4_gamma_abs_std,frequency_band
P4_gamma_rel_mean,frequency_band
P4_gamma_rel_std,frequency_band
P4_theta_beta_ratio_mean,band_ratio
P4_theta_beta_ratio_std,band_ratio
P4_theta_alpha_ratio_mean,band_ratio
P4_theta_alpha_ratio_std,band_ratio
P4_beta_alpha_ratio_mean,band_ratio
P4_beta_alpha_ratio_std,band_ratio
P4_psd_2hz_mean,psd_bin
P4_psd_2hz_std,psd_bin
P4_psd_4hz_mean,psd_bin
P4_psd_4hz_std,psd_bin
P4_psd_6hz_mean,psd_bin
P4_psd_6hz_std,psd_bin
P4_psd_8hz_mean,psd_bin
P4_psd_8hz_std,psd_bin
P4_psd_10hz_mean,psd_bin
P4_psd_10hz_std,psd_bin
P4_psd_12hz_mean,psd_bin
P4_psd_12hz_std,psd_bin
P4_psd_14hz_mean,psd_bin
P4_psd_14hz_std,psd_bin
P4_psd_16hz_mean,psd_bin
P4_psd_16hz_std,psd_bin
P4_psd_18hz_mean,psd_bin
P4_psd_18hz_std,psd_bin
P4_psd_20hz_mean,psd_bin
P4_psd_20hz_std,psd_bin
P4_psd_22hz_mean,psd_bin
P4_psd_22hz_std,psd_bin
P4_psd_24hz_mean,psd_bin
P4_psd_24hz_std,psd_bin
P4_psd_26hz_mean,psd_bin
P4_psd_26hz_std,psd_bin
P4_psd_28hz_mean,psd_bin
P4_psd_28hz_std,psd_bin
P4_psd_30hz_mean,psd_bin
P4_psd_30hz_std,psd_bin
O1_mean_mean,time_domain
O1_mean_std,time_domain
O1_std_mean,time_domain
O1_std_std,time_domain
O1_rms_mean,time_domain
O1_rms_std,time_domain
O1_ptp_mean,time_domain
O1_ptp_std,time_domain
O1_skew_mean,time_domain
O1_skew_std,time_domain
O1_kurtosis_mean,time_domain
O1_kurtosis_std,time_domain
O1_line_length_mean,time_domain
O1_line_length_std,time_domain
O1_zero_crossing_rate_mean,time_domain
O1_zero_crossing_rate_std,time_domain
O1_hjorth_activity_mean,hjorth
O1_hjorth_activity_std,hjorth
O1_hjorth_mobility_mean,hjorth
O1_hjorth_mobility_std,hjorth
O1_hjorth_complexity_mean,hjorth
O1_hjorth_complexity_std,hjorth
O1_delta_abs_mean,frequency_band
O1_delta_abs_std,frequency_band
O1_delta_rel_mean,frequency_band
O1_delta_rel_std,frequency_band
O1_theta_abs_mean,frequency_band
O1_theta_abs_std,frequency_band
O1_theta_rel_mean,frequency_band
O1_theta_rel_std,frequency_band
O1_alpha_abs_mean,frequency_band
O1_alpha_abs_std,frequency_band
O1_alpha_rel_mean,frequency_band
O1_alpha_rel_std,frequency_band
O1_beta_abs_mean,frequency_band
O1_beta_abs_std,frequency_band
O1_beta_rel_mean,frequency_band
O1_beta_rel_std,frequency_band
O1_gamma_abs_mean,frequency_band
O1_gamma_abs_std,frequency_band
O1_gamma_rel_mean,frequency_band
O1_gamma_rel_std,frequency_band
O1_theta_beta_ratio_mean,band_ratio
O1_theta_beta_ratio_std,band_ratio
O1_theta_alpha_ratio_mean,band_ratio
O1_theta_alpha_ratio_std,band_ratio
O1_beta_alpha_ratio_mean,band_ratio
O1_beta_alpha_ratio_std,band_ratio
O1_psd_2hz_mean,psd_bin
O1_psd_2hz_std,psd_bin
O1_psd_4hz_mean,psd_bin
O1_psd_4hz_std,psd_bin
O1_psd_6hz_mean,psd_bin
O1_psd_6hz_std,psd_bin
O1_psd_8hz_mean,psd_bin
O1_psd_8hz_std,psd_bin
O1_psd_10hz_mean,psd_bin
O1_psd_10hz_std,psd_bin
O1_psd_12hz_mean,psd_bin
O1_psd_12hz_std,psd_bin
O1_psd_14hz_mean,psd_bin
O1_psd_14hz_std,psd_bin
O1_psd_16hz_mean,psd_bin
O1_psd_16hz_std,psd_bin
O1_psd_18hz_mean,psd_bin
O1_psd_18hz_std,psd_bin
O1_psd_20hz_mean,psd_bin
O1_psd_20hz_std,psd_bin
O1_psd_22hz_mean,psd_bin
O1_psd_22hz_std,psd_bin
O1_psd_24hz_mean,psd_bin
O1_psd_24hz_std,psd_bin
O1_psd_26hz_mean,psd_bin
O1_psd_26hz_std,psd_bin
O1_psd_28hz_mean,psd_bin
O1_psd_28hz_std,psd_bin
O1_psd_30hz_mean,psd_bin
O1_psd_30hz_std,psd_bin
O2_mean_mean,time_domain
O2_mean_std,time_domain
O2_std_mean,time_domain
O2_std_std,time_domain
O2_rms_mean,time_domain
O2_rms_std,time_domain
O2_ptp_mean,time_domain
O2_ptp_std,time_domain
O2_skew_mean,time_domain
O2_skew_std,time_domain
O2_kurtosis_mean,time_domain
O2_kurtosis_std,time_domain
O2_line_length_mean,time_domain
O2_line_length_std,time_domain
O2_zero_crossing_rate_mean,time_domain
O2_zero_crossing_rate_std,time_domain
O2_hjorth_activity_mean,hjorth
O2_hjorth_activity_std,hjorth
O2_hjorth_mobility_mean,hjorth
O2_hjorth_mobility_std,hjorth
O2_hjorth_complexity_mean,hjorth
O2_hjorth_complexity_std,hjorth
O2_delta_abs_mean,frequency_band
O2_delta_abs_std,frequency_band
O2_delta_rel_mean,frequency_band
O2_delta_rel_std,frequency_band
O2_theta_abs_mean,frequency_band
O2_theta_abs_std,frequency_band
O2_theta_rel_mean,frequency_band
O2_theta_rel_std,frequency_band
O2_alpha_abs_mean,frequency_band
O2_alpha_abs_std,frequency_band
O2_alpha_rel_mean,frequency_band
O2_alpha_rel_std,frequency_band
O2_beta_abs_mean,frequency_band
O2_beta_abs_std,frequency_band
O2_beta_rel_mean,frequency_band
O2_beta_rel_std,frequency_band
O2_gamma_abs_mean,frequency_band
O2_gamma_abs_std,frequency_band
O2_gamma_rel_mean,frequency_band
O2_gamma_rel_std,frequency_band
O2_theta_beta_ratio_mean,band_ratio
O2_theta_beta_ratio_std,band_ratio
O2_theta_alpha_ratio_mean,band_ratio
O2_theta_alpha_ratio_std,band_ratio
O2_beta_alpha_ratio_mean,band_ratio
O2_beta_alpha_ratio_std,band_ratio
O2_psd_2hz_mean,psd_bin
O2_psd_2hz_std,psd_bin
O2_psd_4hz_mean,psd_bin
O2_psd_4hz_std,psd_bin
